year,month,hour_of_day,incident_type_primary,day_of_week
2022,6,8,LARCENY/THEFT,Monday
2022,4,7,LARCENY/THEFT,Thursday
2022,4,23,LARCENY/THEFT,Thursday
2022,4,15,LARCENY/THEFT,Friday
2022,4,17,UUV,Monday
2022,4,22,LARCENY/THEFT,Friday
2022,4,18,LARCENY/THEFT,Monday
2022,4,20,UUV,Monday
2022,4,2,LARCENY/THEFT,Sunday
2022,6,23,LARCENY/THEFT,Sunday
2022,4,15,LARCENY/THEFT,Thursday
2022,4,11,SEXUAL ABUSE,Friday
2022,4,12,LARCENY/THEFT,Thursday
2022,6,21,UUV,Wednesday
2022,6,7,LARCENY/THEFT,Sunday
2022,6,10,LARCENY/THEFT,Saturday
2022,6,18,UUV,Saturday
2022,6,15,BURGLARY,Friday
2022,8,13,LARCENY/THEFT,Monday
2022,4,20,LARCENY/THEFT,Thursday
2022,4,15,LARCENY/THEFT,Thursday
2022,6,11,ASSAULT,Tuesday
2022,8,12,BURGLARY,Sunday
2022,8,9,LARCENY/THEFT,Sunday
2022,6,6,LARCENY/THEFT,Wednesday
2022,8,16,LARCENY/THEFT,Wednesday
2022,8,7,UUV,Thursday
2022,8,21,ASSAULT,Wednesday
2022,6,15,ASSAULT,Tuesday
2022,8,23,UUV,Wednesday
2022,4,12,BURGLARY,Thursday
2022,4,11,LARCENY/THEFT,Thursday
2022,6,10,LARCENY/THEFT,Tuesday
2022,4,12,LARCENY/THEFT,Thursday
2022,8,10,LARCENY/THEFT,Wednesday
2022,6,20,ASSAULT,Tuesday
2022,4,14,LARCENY/THEFT,Thursday
2022,4,10,LARCENY/THEFT,Thursday
2022,8,21,UUV,Thursday
2022,8,23,ROBBERY,Wednesday
2022,6,15,UUV,Tuesday
2022,6,14,LARCENY/THEFT,Tuesday
2022,8,22,ASSAULT,Wednesday
2022,8,13,LARCENY/THEFT,Wednesday
2022,4,1,ASSAULT,Friday
2022,4,10,LARCENY/THEFT,Thursday
2022,4,9,LARCENY/THEFT,Thursday
2022,8,3,ROBBERY,Thursday
2022,6,8,BURGLARY,Wednesday
2022,8,9,LARCENY/THEFT,Wednesday
2022,4,7,BURGLARY,Friday
2022,6,0,UUV,Wednesday
2022,4,1,ROBBERY,Friday
2022,8,2,ROBBERY,Wednesday
2022,4,10,LARCENY/THEFT,Thursday
2022,4,17,ASSAULT,Friday
2022,4,10,LARCENY/THEFT,Tuesday
2022,4,11,UUV,Saturday
2022,4,21,LARCENY/THEFT,Friday
2022,4,11,LARCENY/THEFT,Friday
2022,6,17,LARCENY/THEFT,Tuesday
2022,8,23,UUV,Wednesday
2022,6,11,LARCENY/THEFT,Tuesday
2022,6,10,LARCENY/THEFT,Wednesday
2022,6,1,LARCENY/THEFT,Thursday
2022,6,7,LARCENY/THEFT,Tuesday
2022,6,14,UUV,Friday
2022,8,14,LARCENY/THEFT,Thursday
2022,8,17,LARCENY/THEFT,Wednesday
2022,8,16,LARCENY/THEFT,Wednesday
2022,8,9,BURGLARY,Wednesday
2022,4,19,UUV,Tuesday
2022,4,14,ROBBERY,Tuesday
2022,4,16,BURGLARY,Tuesday
2022,4,10,LARCENY/THEFT,Wednesday
2022,4,2,ASSAULT,Wednesday
2022,6,8,LARCENY/THEFT,Monday
2022,8,18,UUV,Wednesday
2022,6,1,LARCENY/THEFT,Monday
2022,4,15,LARCENY/THEFT,Tuesday
2022,4,18,LARCENY/THEFT,Friday
2022,4,12,LARCENY/THEFT,Friday
2022,8,20,BURGLARY,Saturday
2022,4,20,BURGLARY,Friday
2022,8,14,LARCENY/THEFT,Friday
2022,4,6,THEFT OF SERVICES,Friday
